solucao;f1_distancia;f2_equipes
1;677,6975765210001;8
2;792,1894894899998;6
3;854,1501261450001;5
4;1150,1105363880004;4
5;1238,272501158001;3
6;2137,308404146;2
7;3611,3178775149995;1
