solucao;f1_distancia;f2_equipes;peso_w1;peso_w2
1;708,142528754;6;0,9285714285714285;0,07142857142857151
2;789,4565842439999;5;0,7142857142857142;0,2857142857142858
3;1020,4292504059999;4;0,21428571428571427;0,7857142857142857
4;1402,8050370520002;2;0,07142857142857142;0,9285714285714286
5;3340,0505153940007;1;0,0;1,0
