solucao;f1_distancia;f2_equipes;peso_w1;peso_w2
1;685,040755905;8;1,0;0,0
2;744,751248197;7;0,9285714285714285;0,07142857142857151
3;801,7390062069996;5;0,3571428571428571;0,6428571428571429
4;1116,7108296899996;3;0,14285714285714285;0,8571428571428572
5;1417,2231656710005;2;0,07142857142857142;0,9285714285714286
6;3419,905168393001;1;0,0;1,0
