solucao;f1_distancia;f2_equipes
1;678,220668259;7
2;769,8885958099997;6
3;799,9142366249998;5
4;1103,543515614;4
5;2235,4628665009996;3
6;2342,3468530550003;2
7;3340,0505153940007;1
