solucao;f1_distancia;f2_equipes
1;651,113983409;8
2;792,4983458900001;7
3;805,7388586989998;5
4;885,9149076429998;4
5;1098,6355971569997;3
6;1392,0920104520003;2
7;3419,905168393001;1
