solucao;f1_distancia;f2_equipes;peso_w1;peso_w2
1;804,0293207929998;6;0,9285714285714285;0,07142857142857151
2;814,2340699179999;5;0,5;0,5
3;887,2331530019999;4;0,21428571428571427;0,7857142857142857
4;1395,5139113920004;2;0,07142857142857142;0,9285714285714286
5;3419,905168393001;1;0,0;1,0
