solucao;f1_distancia;f2_equipes
1;667,6983545159999;8
2;750,5568305629998;7
3;791,586070969;6
4;826,947976207;5
5;1149,0328143339998;4
6;1389,5358504460005;2
7;3419,905168393001;1
