solucao;f1_distancia;f2_equipes;peso_w1;peso_w2
1;707,4068790880001;7;0,9285714285714285;0,07142857142857151
2;793,7275283249999;5;0,42857142857142855;0,5714285714285714
3;1217,6089577869998;3;0,14285714285714285;0,8571428571428572
4;1403,6418787910002;2;0,07142857142857142;0,9285714285714286
5;3419,905168393001;1;0,0;1,0
