solucao;f1_distancia;f2_equipes
1;788,4651991879998;7
2;809,101042253;6
3;810,337421764;5
4;1247,4310619970004;4
5;1913,5495360689997;3
6;2666,0247144629993;2
7;3611,3178775149995;1
